Date,History Adj Close,Daily New Cases,Volume,ROE,ROA,PM,EPS,Adj Close
2011-05-02 00:00:00,182.300003,0,6640900,2.7358,1.1906,2.0392,0.44,201.190002
2011-05-03 00:00:00,196.630005,0,9398100,2.7358,1.1906,2.0392,0.44,198.449997
2011-05-04 00:00:00,195.070007,0,6100000,2.7358,1.1906,2.0392,0.44,199.970001
2011-05-05 00:00:00,195.809998,0,6550000,2.7358,1.1906,2.0392,0.44,197.110001
2011-05-06 00:00:00,201.190002,0,4600000,2.7358,1.1906,2.0392,0.44,197.600006
2011-05-09 00:00:00,198.449997,0,4013900,2.7358,1.1906,2.0392,0.44,200.800003
2011-05-10 00:00:00,199.970001,0,5825400,2.7358,1.1906,2.0392,0.44,203.940002
2011-05-11 00:00:00,197.110001,0,5885900,2.7358,1.1906,2.0392,0.44,204.380005
2011-05-12 00:00:00,197.600006,0,4809000,2.7358,1.1906,2.0392,0.44,206.070007
2011-05-13 00:00:00,200.800003,0,4800000,2.7358,1.1906,2.0392,0.44,202.559998
2011-05-16 00:00:00,203.940002,0,4123700,2.7358,1.1906,2.0392,0.44,192.509995
2011-05-17 00:00:00,204.380005,0,9386400,2.7358,1.1906,2.0392,0.44,194.809998
2011-05-18 00:00:00,206.070007,0,7073300,2.7358,1.1906,2.0392,0.44,197.089996
2011-05-19 00:00:00,202.559998,0,4955800,2.7358,1.1906,2.0392,0.44,198.800003
2011-05-20 00:00:00,192.509995,0,3701200,2.7358,1.1906,2.0392,0.44,198.649994
2011-05-23 00:00:00,194.809998,0,3381000,2.7358,1.1906,2.0392,0.44,196.220001
2011-05-24 00:00:00,197.089996,0,4200000,2.7358,1.1906,2.0392,0.44,193.270004
2011-05-25 00:00:00,198.800003,0,2972700,2.7358,1.1906,2.0392,0.44,192.259995
2011-05-26 00:00:00,198.649994,0,4661300,2.7358,1.1906,2.0392,0.44,195
2011-05-27 00:00:00,196.220001,0,4075200,2.7358,1.1906,2.0392,0.44,194.130005
2011-05-31 00:00:00,193.270004,0,2352600,2.7358,1.1906,2.0392,0.44,196.690002
2011-06-01 00:00:00,192.259995,0,3409000,2.7358,1.1906,2.0392,0.44,192.399994
2011-06-02 00:00:00,195,0,3445200,2.7358,1.1906,2.0392,0.44,193.649994
2011-06-03 00:00:00,194.130005,0,3044900,2.7358,1.1906,2.0392,0.44,188.320007
2011-06-06 00:00:00,196.690002,0,4974500,2.7358,1.1906,2.0392,0.44,185.690002
2011-06-07 00:00:00,192.399994,0,3716000,2.7358,1.1906,2.0392,0.44,187.550003
2011-06-08 00:00:00,193.649994,0,4866500,2.7358,1.1906,2.0392,0.44,188.050003
2011-06-09 00:00:00,188.320007,0,3716600,2.7358,1.1906,2.0392,0.44,189.679993
2011-06-10 00:00:00,185.690002,0,4187300,2.7358,1.1906,2.0392,0.44,186.529999
2011-06-13 00:00:00,187.550003,0,3760400,2.7358,1.1906,2.0392,0.44,186.289993
2011-06-14 00:00:00,188.050003,0,3868900,2.7358,1.1906,2.0392,0.44,189.960007
2011-06-15 00:00:00,189.679993,0,3960300,2.7358,1.1906,2.0392,0.44,185.979996
2011-06-16 00:00:00,186.529999,0,6317700,2.7358,1.1906,2.0392,0.44,183.649994
2011-06-17 00:00:00,186.289993,0,6032100,2.7358,1.1906,2.0392,0.44,186.369995
2011-06-20 00:00:00,189.960007,0,6322200,2.7358,1.1906,2.0392,0.44,187.720001
2011-06-21 00:00:00,185.979996,0,2831700,2.7358,1.1906,2.0392,0.44,194.229996
